"Step","mask50_token10 - train_loss","mask50_token10 - train_loss__MIN","mask50_token10 - train_loss__MAX","mask80_token10 - train_loss","mask80_token10 - train_loss__MIN","mask80_token10 - train_loss__MAX"
"0","0.13431011140346527","0.13431011140346527","0.13431011140346527","0.13461950421333313","0.13461950421333313","0.13461950421333313"
"1","0.16095328579346338","0.16095328579346338","0.16095328579346338","0.1613507146636645","0.1613507146636645","0.1613507146636645"
"3","0.2233267817646265","0.2233267817646265","0.2233267817646265","0.22370257508009672","0.22370257508009672","0.22370257508009672"
"4","0.2504004552250817","0.2504004552250817","0.2504004552250817","0.2507452546131043","0.2507452546131043","0.2507452546131043"
"5","0.2726419430512648","0.2726419430512648","0.2726419430512648","0.27297973460876024","0.27297973460876024","0.27297973460876024"
"7","0.3043396646777789","0.3043396646777789","0.3043396646777789","0.3046569935977459","0.3046569935977459","0.3046569935977459"
"8","0.31554797073689905","0.31554797073689905","0.31554797073689905","0.31586692282339424","0.31586692282339424","0.31586692282339424"
"9","0.3244139992672464","0.3244139992672464","0.3244139992672464","0.32472163276827853","0.32472163276827853","0.32472163276827853"
"10","0.33150478905322506","0.33150478905322506","0.33150478905322506","0.33181285303013","0.33181285303013","0.33181285303013"
"11","0.33721364768488066","0.33721364768488066","0.33721364768488066","0.3375191504934004","0.3375191504934004","0.3375191504934004"
"14","0.3489617940405725","0.3489617940405725","0.3489617940405725","0.34927698193301615","0.34927698193301615","0.34927698193301615"
"16","0.35381840151033284","0.35381840151033284","0.35381840151033284","0.3541458390745116","0.3541458390745116","0.3541458390745116"
"17","0.35570019830104915","0.35570019830104915","0.35570019830104915","0.356037956857404","0.356037956857404","0.356037956857404"
"18","0.35722683124489835","0.35722683124489835","0.35722683124489835","0.35757117857644843","0.35757117857644843","0.35757117857644843"
"19","0.35851975716650486","0.35851975716650486","0.35851975716650486","0.3588713672943413","0.3588713672943413","0.3588713672943413"
"20","0.35964600077950126","0.35964600077950126","0.35964600077950126","0.3600028480338578","0.3600028480338578","0.3600028480338578"
"21","0.36059283676012505","0.36059283676012505","0.36059283676012505","0.36095218121443157","0.36095218121443157","0.36095218121443157"
"22","0.36136125847026035","0.36136125847026035","0.36136125847026035","0.3617256215295276","0.3617256215295276","0.3617256215295276"
"25","0.3628935671987988","0.3628935671987988","0.3628935671987988","0.36327064829686334","0.36327064829686334","0.36327064829686334"
"26","0.3632012878665487","0.3632012878665487","0.3632012878665487","0.3635836253866895","0.3635836253866895","0.3635836253866895"
"27","0.3634287498014815","0.3634287498014815","0.3634287498014815","0.3638144991196254","0.3638144991196254","0.3638144991196254"
"28","0.36359118443008853","0.36359118443008853","0.36359118443008853","0.36398341163253106","0.36398341163253106","0.36398341163253106"
"29","0.3636698306423344","0.3636698306423344","0.3636698306423344","0.3640672724745045","0.3640672724745045","0.3640672724745045"
"31","0.3636877571160977","0.3636877571160977","0.3636877571160977","0.3640975981759719","0.3640975981759719","0.3640975981759719"
"32","0.3636158212371495","0.3636158212371495","0.3636158212371495","0.364032296197755","0.364032296197755","0.364032296197755"
"33","0.36350853274385614","0.36350853274385614","0.36350853274385614","0.36392985652369186","0.36392985652369186","0.36392985652369186"
"34","0.3633751757660804","0.3633751757660804","0.3633751757660804","0.3638020573477996","0.3638020573477996","0.3638020573477996"
"35","0.3631961044262756","0.3631961044262756","0.3631961044262756","0.36362667728892784","0.36362667728892784","0.36362667728892784"
"36","0.362976454733485","0.362976454733485","0.362976454733485","0.36341123184117163","0.36341123184117163","0.36341123184117163"
"39","0.3621553504953579","0.3621553504953579","0.3621553504953579","0.3626016148042922","0.3626016148042922","0.3626016148042922"
"40","0.36183009278121875","0.36183009278121875","0.36183009278121875","0.36228154184509864","0.36228154184509864","0.36228154184509864"
"42","0.3611365284117477","0.3611365284117477","0.3611365284117477","0.3615936107968832","0.3615936107968832","0.3615936107968832"
"44","0.3603680323961094","0.3603680323961094","0.3603680323961094","0.36083297364042893","0.36083297364042893","0.36083297364042893"
"45","0.3599699316299067","0.3599699316299067","0.3599699316299067","0.36043959269217685","0.36043959269217685","0.36043959269217685"
"46","0.3595479982239859","0.3595479982239859","0.3595479982239859","0.360021523260451","0.360021523260451","0.360021523260451"
"47","0.35912615351252636","0.35912615351252636","0.35912615351252636","0.3596029781057673","0.3596029781057673","0.3596029781057673"
"48","0.3586852509698433","0.3586852509698433","0.3586852509698433","0.35916623615377674","0.35916623615377674","0.35916623615377674"
"50","0.3577896919383471","0.3577896919383471","0.3577896919383471","0.35827604880133473","0.35827604880133473","0.35827604880133473"
"51","0.35733029851689935","0.35733029851689935","0.35733029851689935","0.35782028030371293","0.35782028030371293","0.35782028030371293"
"52","0.35686739045998145","0.35686739045998145","0.35686739045998145","0.357359089785152","0.357359089785152","0.357359089785152"
"53","0.35639287912307827","0.35639287912307827","0.35639287912307827","0.35688610290898415","0.35688610290898415","0.35688610290898415"
"54","0.3559181821082351","0.3559181821082351","0.3559181821082351","0.3564133785417599","0.3564133785417599","0.3564133785417599"
"55","0.3554468175423318","0.3554468175423318","0.3554468175423318","0.3559440225902675","0.3559440225902675","0.3559440225902675"
"56","0.35497066198294697","0.35497066198294697","0.35497066198294697","0.35546850813453307","0.35546850813453307","0.35546850813453307"
"57","0.3545007088801244","0.3545007088801244","0.3545007088801244","0.35500158301808615","0.35500158301808615","0.35500158301808615"
"58","0.3540154696534999","0.3540154696534999","0.3540154696534999","0.3545186424890335","0.3545186424890335","0.3545186424890335"
"59","0.3535231860304201","0.3535231860304201","0.3535231860304201","0.35402819146779746","0.35402819146779746","0.35402819146779746"
"62","0.3520515172044564","0.3520515172044564","0.3520515172044564","0.35256134998951694","0.35256134998951694","0.35256134998951694"
